cards_initial,moves_initial,hand1_cards,hand2_cards,moves_1,moves_2,dealer_hand,money
"[8, 'A', 2]",['DD'],[],[],[],[],"[4, 'K', 7]",-200
"[6, 5, 3]",['DD'],[],[],[],[],"['J', 7]",-200
"['A', 5]",['S'],[],[],[],[],"[7, 4, 'J']",-100
"[3, 'K', 'A', 'Q', 10, 8, 'K']","['H', 'H', 'H', 'H', 'DD']",[],[],[],[],"[7, 'J']",-200
"[3, 2]",['S'],[],[],[],[],"[4, 6, 9]",-100
"[3, 'A']",['S'],[],[],[],[],"[4, 4, 5, 10]",100
"[5, 'Q']",['S'],[],[],[],[],"[9, 'A', 'K']",-100
"[5, 7]",['S'],[],[],[],[],"[10, 3, 2, 'Q']",100
"[6, 9]",['S'],[],[],[],[],"['J', 'A', 10]",-100
"['J', 4]",['S'],[],[],[],[],"[6, 3, 10]",-100
"[7, 8]",['S'],[],[],[],[],"[3, 'A', 'K', 2, 3]",-100
"['A', 'Q', 7, 3]","['H', 'H', 'S']",[],[],[],[],"[2, 8, 'K']",0
"['K', 2, 2, 3, 'J']","['H', 'H', 'H', 'S']",[],[],[],[],"[5, 10, 2]",-100
"[8, 'A']",['S'],[],[],[],[],"[10, 'K']",-100
"[4, 6, 'K', 6]","['H', 'H', 'S']",[],[],[],[],"[7, 10]",-100
"['Q', 7]",['S'],[],[],[],[],"['A', 4, 'Q', 6]",-100
"[4, 2]",['S'],[],[],[],[],"['A', 8, 7, 3]",-100
"[3, 'A']",['S'],[],[],[],[],"[3, 'A', 'K', 'K']",100
"[5, 8]",['S'],[],[],[],[],"['Q', 3, 3, 7]",100
"[2, 'A', 5]","['H', 'S']",[],[],[],[],"[8, 4, 3, 'A', 'K']",100
"[3, 9, 6]",['DD'],[],[],[],[],"[5, 8, 7]",-200
"[5, 10, 9, 3]","['H', 'DD']",[],[],[],[],"[6, 10, 'J']",-200
"[4, 10, 5]",['DD'],[],[],[],[],"['Q', 3, 'A', 5]",200
"[7, 10, 7]",['DD'],[],[],[],[],"['K', 2, 4, 8]",-200
"[9, 'J', 10, 10, 6]","['H', 'H', 'DD']",[],[],[],[],"[9, 7, 4]",-200
"['K', 3, 4]",['DD'],[],[],[],[],"[10, 'J']",-200
"[5, 7]",['S'],[],[],[],[],"[2, 4, 8, 'J']",100
"[3, 'Q', 5]",['DD'],[],[],[],[],"['K', 'Q']",-200
"['A', 'Q', 10]",['DD'],[],[],[],[],"[10, 'J']",0
"[6, 4, 9, 10, 2]","['H', 'H', 'H', 'S']",[],[],[],[],"[10, 7]",-100
"[4, 5, 3]","['H', 'S']",[],[],[],[],"[2, 'J', 9]",-100
"[8, 10]",['S'],[],[],[],[],"['K', 4, 4]",0
"[3, 'K', 7]",['DD'],[],[],[],[],"[2, 'Q', 'K']",200
"['A', 2]",['S'],[],[],[],[],"[8, 'K']",-100
"[5, 2]",['S'],[],[],[],[],"['J', 9]",-100
"[7, 9, 6]","['H', 'S']",[],[],[],[],"['J', 'A', 6, 8]",-100
"[9, 3]",['S'],[],[],[],[],"[5, 10, 8]",100
"[5, 4]",['S'],[],[],[],[],"[5, 'Q', 'A', 8]",100
"[9, 2, 2]",['DD'],[],[],[],[],"['A', 'A', 7, 4, 'J']",-200
"[10, 5]",['S'],[],[],[],[],"[7, 3, 'A', 'J']",-100
"[6, 9]",['S'],[],[],[],[],"[4, 7, 3, 'J']",100
"[2, 9, 3]",['DD'],[],[],[],[],"[8, 'K']",-200
"[6, 'Q', 9, 8]","['H', 'DD']",[],[],[],[],"[2, 10, 8]",-200
"[6, 3, 'A']",['DD'],[],[],[],[],"[7, 3, 'A', 2, 7]",-200
"[8, 'J', 3, 'K', 3]","['H', 'H', 'DD']",[],[],[],[],"['Q', 6, 10]",-200
"['J', 7, 2]",['DD'],[],[],[],[],"[5, 'A', 7, 'A', 5]",200
"[9, 5, 7, 5]","['H', 'H', 'S']",[],[],[],[],"['K', 2, 'Q']",-100
"[6, 4]",['S'],[],[],[],[],"[3, 7, 3, 'J']",100
"[5, 8]",['S'],[],[],[],[],"[9, 'A', 2, 3, 'K']",100
"['Q', 3, 10]",['DD'],[],[],[],[],"[3, 6, 'Q']",-200
"[8, 'Q', 7]",['DD'],[],[],[],[],"[10, 8]",-200
"[10, 8, 9]",['DD'],[],[],[],[],"[8, 8, 4]",-200
"[4, 10, 7]",['DD'],[],[],[],[],"[3, 10, 10]",200
"[5, 'J', 'K', 'Q']","['H', 'H', 'S']",[],[],[],[],"[2, 9, 2, 'J']",-100
