cards_initial,moves_initial,hand1_cards,hand2_cards,moves_1,moves_2,dealer_hand,money
"['Q', 'Q']",['S'],[],[],[],[],"['K', 'A', 3, 5]",100
"[2, 9, 10]","['H', 'S']",[],[],[],[],"[10, 'J']",100
"[10, 9, 'K', 2, 4]","['H', 'H', 'DD']",[],[],[],[],"['J', 'A', 2, 'K']",-200
"['K', 'J', 10]",['DD'],[],[],[],[],"[9, 4, 9]",-200
"[7, 'K', 'K']","['H', 'S']",[],[],[],[],"['J', 10]",-100
"[5, 8, 'K']",['DD'],[],[],[],[],"[6, 8, 5]",-200
"[5, 5]",['P'],"[5, 10]",[5],['DD'],['S'],"['Q', 'A', 4, 'K']",300
"[7, 'Q', 'A']","['H', 'S']",[],[],[],[],"[10, 6, 10]",100
"[3, 9, 4, 9, 'Q']","['H', 'H', 'DD']",[],[],[],[],"['A', 8, 4, 'K']",-200
"[8, 4]",['S'],[],[],[],[],"[9, 'K']",-100
"[6, 'Q', 10]",['DD'],[],[],[],[],"[5, 'J', 9]",-200
"[6, 'Q']",['S'],[],[],[],[],"[2, 7, 3, 4, 'K']",100
"[9, 4]",['S'],[],[],[],[],"[2, 'Q', 'J']",100
"[6, 'A', 4, 4, 'Q']","['H', 'H', 'DD']",[],[],[],[],"[7, 10]",-200
"[9, 'Q']",['S'],[],[],[],[],"['Q', 6, 'K']",100
"['K', 10, 2]",['DD'],[],[],[],[],"['J', 'Q']",-200
"[8, 4, 9]",['DD'],[],[],[],[],"['Q', 7]",200
"['J', 3]",['S'],[],[],[],[],"[5, 10, 5]",-100
"[10, 5, 3]","['H', 'S']",[],[],[],[],"[8, 10]",0
"[6, 2]",['S'],[],[],[],[],"['K', 'A', 3, 6]",-100
"[7, 8, 'K']",['DD'],[],[],[],[],"[8, 4, 'J']",-200
"[7, 9, 'Q']",['DD'],[],[],[],[],"[3, 'K', 4]",-200
"[3, 8]",['S'],[],[],[],[],"[7, 2, 6, 'Q']",100
"[10, 'A', 5]","['H', 'S']",[],[],[],[],"['Q', 10]",-100
"[10, 2, 'K']",['DD'],[],[],[],[],"['K', 'Q']",-200
"[5, 4, 'K']",['DD'],[],[],[],[],"['J', 'A', 6, 'Q']",200
"['A', 7, 'Q']",['DD'],[],[],[],[],"[10, 'Q']",-200
"[7, 6, 9, 5]","['H', 'DD']",[],[],[],[],"[3, 3, 4, 'K']",-200
"['Q', 2, 'A']",['DD'],[],[],[],[],"[8, 'A', 3, 6]",-200
"[5, 6, 7]",['DD'],[],[],[],[],"[10, 8]",0
"[2, 8, 8]",['DD'],[],[],[],[],"['J', 7]",200
"[4, 7, 7, 5]","['H', 'H', 'S']",[],[],[],[],"['Q', 10]",-100
"['J', 10, 6, 6, 4]","['H', 'H', 'H', 'S']",[],[],[],[],"[6, 6, 9]",-100
"[9, 10, 'K']",['DD'],[],[],[],[],"[6, 4, 'A', 10]",-200
"[8, 4, 7, 6]","['H', 'DD']",[],[],[],[],"[6, 4, 5, 'J']",-200
"[8, 'Q', 6, 3, 7]","['H', 'H', 'DD']",[],[],[],[],"[5, 5, 8]",-200
"[4, 4]",['P'],"[4, 10, 'K']","[4, 6, 'Q', 'Q']","['H', 'DD']","['H', 'H', 'DD']","['A', 'J', 'J']",-400
"[10, 'J', 3]",['DD'],[],[],[],[],"['Q', 10]",-200
"[6, 5]",['S'],[],[],[],[],"[6, 'J', 'J']",100
"[8, 'Q', 7]",['DD'],[],[],[],[],"[9, 'J']",-200
"[2, 2, 'A', 7]","['H', 'DD']",[],[],[],[],"[3, 3, 5, 2, 3, 'K']",200
"[4, 10, 8]","['H', 'S']",[],[],[],[],"[5, 6, 'A', 6]",-100
"['K', 9]",['S'],[],[],[],[],"['K', 4, 7]",-100
"['Q', 10, 6]","['H', 'S']",[],[],[],[],"[9, 5, 9]",-100
"['J', 'Q']",['P'],"['J', 10]","['Q', 8, 'Q']",['DD'],"['H', 'DD']","[6, 4, 'A', 'A', 9]",0
"['J', 7, 'K']",['DD'],[],[],[],[],"[6, 'Q', 4]",-200
"['A', 10, 7, 'J']","['H', 'DD']",[],[],[],[],"[5, 'A', 7, 'Q']",-200
"['K', 7]",['S'],[],[],[],[],"[8, 'J']",-100
"['A', 8, 8]",['DD'],[],[],[],[],"['J', 7]",-200
"[4, 'A', 5]","['H', 'S']",[],[],[],[],"['A', 2, 7, 8]",-100
"[7, 4, 8]",['DD'],[],[],[],[],"[2, 'J', 2, 4]",200
"[10, 8, 9]",['DD'],[],[],[],[],"[3, 'A', 4, 10]",-200
"['Q', 3]",['S'],[],[],[],[],"['A', 6, 'K', 'A', 9]",100
"['A', 2]",['S'],[],[],[],[],"[10, 6, 'A', 'J']",100
"[8, 'K']",['S'],[],[],[],[],"[2, 2, 3, 'K']",100
"['Q', 'K', 4]",['DD'],[],[],[],[],"['Q', 8]",-200
"['J', 8, 10]","['H', 'S']",[],[],[],[],"[3, 'J', 2, 'A', 6]",-100
"['K', 5, 'Q', 10]","['H', 'DD']",[],[],[],[],"[2, 8, 2, 3, 5]",-200
"['K', 5]",['S'],[],[],[],[],"[6, 3, 'Q']",-100
"['J', 3, 8, 'Q']","['H', 'DD']",[],[],[],[],"['Q', 4, 10]",-200
"[9, 10, 5]",['DD'],[],[],[],[],"['K', 7]",-200
"[10, 3, 5, 6]","['H', 'H', 'S']",[],[],[],[],"[5, 'J', 4]",-100
"[8, 'A', 'A']","['H', 'S']",[],[],[],[],"[9, 6, 'Q']",100
"[7, 5]",['S'],[],[],[],[],"[2, 'A', 'J', 'Q']",100
"[8, 'A', 7, 'A', 'Q']","['H', 'H', 'H', 'S']",[],[],[],[],"[5, 9, 6]",-100
"[3, 6, 2]",['DD'],[],[],[],[],"[5, 10, 3]",-200
"['K', 3, 'Q', 'J']","['H', 'H', 'S']",[],[],[],[],"['A', 9, 3, 8]",-100
"['J', 'J']",['S'],[],[],[],[],"['A', 'K', 2, 4, 'A', 'Q']",100
"[7, 'A', 'K']","['H', 'S']",[],[],[],[],"[9, 3, 2, 5]",-100
"[9, 2, 5]","['H', 'S']",[],[],[],[],"[4, 'J', 'J']",100
"[7, 'A', 5, 10]","['H', 'DD']",[],[],[],[],"[2, 10, 'J']",-200
"[5, 9, 7, 6, 4]","['H', 'H', 'DD']",[],[],[],[],"['A', 3, 'J', 'A', 'K']",-200
"[4, 10, 9, 2]","['H', 'DD']",[],[],[],[],"[10, 10]",-200
"[9, 'A', 10]",['DD'],[],[],[],[],"[2, 9, 'A', 'J']",-200
"['A', 8, 8]",['DD'],[],[],[],[],"[3, 7, 9]",-200
"[7, 10]",['S'],[],[],[],[],"[9, 3, 2, 'A', 4]",-100
"[9, 'A', 8, 7, 4, 6, 'Q']","['H', 'H', 'H', 'H', 'DD']",[],[],[],[],"[7, 6, 4]",-200
"[4, 3, 'Q']","['H', 'S']",[],[],[],[],"[6, 3, 'J']",-100
"[3, 2]",['S'],[],[],[],[],"[3, 7, 4, 9]",100
"[4, 'J', 3]",['DD'],[],[],[],[],"[7, 2, 9]",-200
"[7, 7, 'J']",['DD'],[],[],[],[],"[2, 'Q', 10]",-200
"[10, 'A', 'Q']",['DD'],[],[],[],[],"[5, 8, 'A', 'J']",200
"[4, 10, 'Q']",['DD'],[],[],[],[],"['K', 'J']",-200
"[6, 6, 'Q']","['H', 'S']",[],[],[],[],"['A', 3, 8, 9]",-100
"[4, 'Q', 10]",['DD'],[],[],[],[],"['J', 'A', 8]",-200
"['Q', 3, 9]",['DD'],[],[],[],[],"[8, 10]",-200
"[4, 8]",['S'],[],[],[],[],"[6, 'A', 9, 8]",100
"[7, 6, 8]",['DD'],[],[],[],[],"['J', 'A', 2, 7]",200
"['J', 3]",['S'],[],[],[],[],"[6, 3, 9]",-100
"['K', 5]",['S'],[],[],[],[],"[10, 2, 3, 8]",100
"[3, 7, 'J']",['DD'],[],[],[],[],"['K', 'K']",0
"['K', 'J', 'K', 7]","['H', 'DD']",[],[],[],[],"[7, 3, 10]",-200
"['A', 7, 3]",['DD'],[],[],[],[],"['J', 4, 2, 'K']",200
"[9, 7, 6, 'A']","['H', 'DD']",[],[],[],[],"[4, 8, 'Q']",-200
"['Q', 'J']",['P'],['Q'],"['J', 4]",['S'],['DD'],"['Q', 9]",-300
"[6, 4, 7, 9, 'Q']","['H', 'H', 'DD']",[],[],[],[],"['Q', 4, 2, 3]",-200
"[6, 8, 2]","['H', 'S']",[],[],[],[],"[3, 8, 2, 3, 5]",-100
"[6, 'J', 'J']",['DD'],[],[],[],[],"[8, 9]",-200
"[7, 'Q', 9]",['DD'],[],[],[],[],"['A', 5, 9, 5]",-200
"['Q', 5, 'J']","['H', 'S']",[],[],[],[],"[10, 10]",-100
"[6, 'K', 'J']","['H', 'S']",[],[],[],[],"[10, 2, 3, 'A', 7]",-100
"[3, 'A', 'Q']",['DD'],[],[],[],[],"[5, 8, 'Q']",200
"[5, 3, 3]","['H', 'S']",[],[],[],[],"['A', 2, 'J', 2, 4]",-100
"['J', 'Q']",['P'],"['J', 9, 6]","['Q', 5, 'Q', 2]","['H', 'DD']","['H', 'H', 'DD']","[3, 9, 'K']",-400
"[4, 2]",['S'],[],[],[],[],"['J', 6, 'Q']",100
"[2, 'J']",['S'],[],[],[],[],"[2, 'A', 2, 'K', 'K']",100
"['J', 'Q']",['P'],['J'],"['Q', 'Q']",['S'],['DD'],"['A', 7, 5, 8]",-100
"[9, 2]",['S'],[],[],[],[],"['Q', 'A', 3, 'K']",100
"[5, 6, 4]",['DD'],[],[],[],[],"[3, 2, 9, 'K']",200
"[2, 10, 3]",['DD'],[],[],[],[],"['K', 9]",-200
"[10, 'K']",['P'],"[10, 3]","['K', 9]",['DD'],['DD'],"['Q', 7]",0
"[7, 10]",['S'],[],[],[],[],"[5, 'Q', 3]",-100
"['A', 'J', 9]",['DD'],[],[],[],[],"['K', 10]",-200
"[10, 5]",['S'],[],[],[],[],"['A', 2, 'Q', 9]",-100
"['K', 5, 10]",['DD'],[],[],[],[],"[3, 'Q', 'J']",-200
"[5, 'K', 'Q']",['DD'],[],[],[],[],"['A', 7, 'Q']",-200
"[2, 'J']",['S'],[],[],[],[],"[5, 6, 'K']",-100
"[4, 'Q', 'Q', 10, 'K']","['H', 'H', 'H', 'S']",[],[],[],[],"[6, 10, 3]",-100
"[8, 'J', 6, 10]","['H', 'DD']",[],[],[],[],"[4, 2, 6, 'J']",-200
"['A', 10]",['S'],[],[],[],[],"[4, 5, 9]",-100
"['Q', 'J', 9, 5, 'K', 6, 8, 10, 'J']","['H', 'H', 'H', 'H', 'H', 'H', 'DD']",[],[],[],[],"[3, 4, 2, 6, 9]",-200
"[5, 7, 'A']","['H', 'S']",[],[],[],[],"['J', 7]",-100
"['K', 10, 3, 8, 8, 2]","['H', 'H', 'H', 'H', 'S']",[],[],[],[],"['J', 'Q']",-100
"[2, 10, 5]",['DD'],[],[],[],[],"[6, 'A', 'A', 7, 4]",0
"[2, 9]",['S'],[],[],[],[],"[5, 'Q', 'A', 6]",-100
"[6, 2, 3, 'Q']","['H', 'H', 'S']",[],[],[],[],"['Q', 6, 2]",100
"['Q', 'K', 5]",['DD'],[],[],[],[],"[10, 8]",-200
"[7, 'J', 6, 'J']","['H', 'DD']",[],[],[],[],"[8, 4, 10]",-200
"['Q', 3, 5]",['DD'],[],[],[],[],"['A', 10, 8]",0
"['K', 3, 3]",['DD'],[],[],[],[],"[3, 7, 8]",-200
"['A', 6, 5]",['DD'],[],[],[],[],"['Q', 'J']",-200
"[8, 'K', 2]",['DD'],[],[],[],[],"[3, 8, 7]",200
"[7, 4, 10]",['DD'],[],[],[],[],"['J', 'Q']",200
"[2, 9, 'J']",['DD'],[],[],[],[],"[10, 'Q']",200
"[10, 10, 10, 'J', 'Q', 'K']","['H', 'H', 'H', 'H', 'S']",[],[],[],[],"[6, 3, 10]",-100
"[2, 5, 'J']",['DD'],[],[],[],[],"[6, 'J', 3]",-200
"['K', 'J', 6]",['DD'],[],[],[],[],"[6, 9, 'A', 'K']",-200
"[5, 'Q', 9, 10]","['H', 'DD']",[],[],[],[],"[7, 7, 9]",-200
"['A', 10, 2]","['H', 'S']",[],[],[],[],"[8, 6, 4]",-100
"['A', 8, 'J', 6]","['H', 'H', 'S']",[],[],[],[],"[6, 3, 9]",-100
"[10, 'A', 5]",['DD'],[],[],[],[],"['A', 3, 'J', 'K']",200
"['K', 10, 7]",['DD'],[],[],[],[],"['Q', 8]",-200
"[6, 4]",['S'],[],[],[],[],"[2, 'J', 5]",-100
"[3, 7, 6]",['DD'],[],[],[],[],"[3, 9, 5]",-200
"[10, 5, 2]",['DD'],[],[],[],[],"['K', 'A', 3, 9]",200
"['A', 'Q', 'K']","['H', 'S']",[],[],[],[],"[7, 4, 5, 'Q']",100
"['K', 5, 9, 5]","['H', 'DD']",[],[],[],[],"[7, 7, 10]",-200
"[7, 6, 'A']",['DD'],[],[],[],[],"[5, 8, 'Q']",200
"[6, 'J', 3, 'A', 'K']","['H', 'H', 'DD']",[],[],[],[],"[6, 4, 'Q']",-200
"[6, 7, 'J']",['DD'],[],[],[],[],"[2, 3, 'Q', 'J']",-200
"[7, 8, 'Q', 4]","['H', 'DD']",[],[],[],[],"[3, 2, 3, 3, 'Q']",-200
"[5, 10, 4]","['H', 'S']",[],[],[],[],"[10, 3, 7]",-100
"['A', 'J', 'K']",['DD'],[],[],[],[],"[4, 3, 5, 5]",200
"[9, 10, 'Q']",['DD'],[],[],[],[],"[5, 7, 2, 'Q']",-200
"[5, 'Q']",['S'],[],[],[],[],"[8, 'A', 'Q']",-100
"[4, 'J', 2]",['DD'],[],[],[],[],"['A', 9, 4, 'Q']",200
"[5, 'Q', 10]",['DD'],[],[],[],[],"[8, 2, 8]",-200
"['K', 8, 7]",['DD'],[],[],[],[],"[2, 4, 'J', 10]",-200
"[8, 'J', 'K']",['DD'],[],[],[],[],"['Q', 9]",-200
"[10, 8, 'K']",['DD'],[],[],[],[],"[9, 'A', 5, 2, 'J']",-200
"[3, 8, 9]",['DD'],[],[],[],[],"[4, 10, 'Q']",200
"[2, 10, 'J', 4, 8, 10]","['H', 'H', 'H', 'DD']",[],[],[],[],"[6, 5, 'J']",-200
"[4, 9, 5, 6, 4]","['H', 'H', 'DD']",[],[],[],[],"[4, 7, 6]",-200
"[2, 6]",['S'],[],[],[],[],"[10, 5, 8]",100
"[8, 'A', 6]",['DD'],[],[],[],[],"['Q', 'A', 7]",-200
"[10, 6, 5, 4]","['H', 'DD']",[],[],[],[],"['Q', 8]",-200
"[3, 5, 7]",['DD'],[],[],[],[],"['J', 'A', 7]",-200
"[6, 'A', 9, 'J']","['H', 'DD']",[],[],[],[],"[8, 'K']",-200
"['A', 7, 3]",['DD'],[],[],[],[],"['Q', 10]",-200
"[2, 'K', 'Q']",['DD'],[],[],[],[],"['J', 4, 7]",-200
"[5, 9, 'K']",['DD'],[],[],[],[],"['A', 'J', 5, 'K']",-200
"['A', 5, 7]",['DD'],[],[],[],[],"[2, 'Q', 4, 8]",200
"[6, 5, 3]",['DD'],[],[],[],[],"[9, 'A', 2, 2, 7]",-200
"[8, 4, 5, 'K']","['H', 'DD']",[],[],[],[],"['A', 10, 6, 8]",-200
"['K', 6, 8, 8]","['H', 'DD']",[],[],[],[],"[2, 'J', 'J']",-200
"[7, 10]",['S'],[],[],[],[],"[8, 7, 'A', 5]",-100
"[10, 7, 'K']","['H', 'S']",[],[],[],[],"['J', 10]",-100
"['J', 'Q', 9]",['DD'],[],[],[],[],"[4, 'J', 4]",-200
"['A', 'Q', 'J']",['DD'],[],[],[],[],"['A', 7, 3, 4, 10]",200
"[3, 4, 'A', 2]","['H', 'H', 'S']",[],[],[],[],"['K', 'Q']",-100
"['Q', 'A']",['S'],[],[],[],[],"[8, 8, 5]",-100
"['Q', 'A', 2, 9]","['H', 'DD']",[],[],[],[],"['K', 9]",200
"['Q', 5, 'A', 7]","['H', 'DD']",[],[],[],[],"['A', 4, 6, 'Q']",-200
"[10, 7, 'Q']",['DD'],[],[],[],[],"['A', 4, 'Q', 'K']",-200
"[3, 5, 8, 9]","['H', 'DD']",[],[],[],[],"['Q', 5, 'Q']",-200
"[8, 6, 7]",['DD'],[],[],[],[],"['Q', 8]",200
"[9, 4, 'Q', 9, 6]","['H', 'H', 'DD']",[],[],[],[],"[8, 6, 3]",-200
"['K', 10, 4, 5]","['H', 'DD']",[],[],[],[],"[8, 'A', 8, 'Q']",-200
"[10, 4, 4]",['DD'],[],[],[],[],"[5, 'A', 2, 'Q']",200
"['J', 7, 'K']","['H', 'S']",[],[],[],[],"[8, 'Q']",-100
"[3, 5, 'A']",['DD'],[],[],[],[],"[5, 'J', 'J']",200
"['Q', 9, 'J']","['H', 'S']",[],[],[],[],"[10, 2, 'J']",-100
"[9, 4, 'K']",['DD'],[],[],[],[],"['J', 2, 7]",-200
"[10, 2, 'A']","['H', 'S']",[],[],[],[],"[5, 10, 'K']",100
"[3, 4, 'Q']",['DD'],[],[],[],[],"[9, 'Q']",-200
"[10, 8, 3]",['DD'],[],[],[],[],"['Q', 8]",200
"[9, 'Q']",['S'],[],[],[],[],"[2, 'A', 10, 6]",100
"[3, 6, 8]",['DD'],[],[],[],[],"['Q', 7]",0
"['A', 'Q']",['S'],[],[],[],[],"[4, 3, 7, 9]",100
"[5, 8, 7]",['DD'],[],[],[],[],"[2, 'Q', 'A', 3, 2]",200
"[4, 7, 6, 5]","['H', 'DD']",[],[],[],[],"[8, 'Q']",-200
"[8, 2, 6]","['H', 'S']",[],[],[],[],"[4, 'A', 9, 5]",-100
"[8, 2]",['S'],[],[],[],[],"['J', 4, 5]",-100
"[3, 'Q']",['S'],[],[],[],[],"[5, 7, 'J']",100
"[2, 10, 9, 7]","['H', 'H', 'S']",[],[],[],[],"[9, 8]",-100
"['Q', 3, 5]","['H', 'S']",[],[],[],[],"[2, 'J', 6]",0
"[2, 3]",['S'],[],[],[],[],"[6, 6, 4, 7]",100
"[5, 'K']",['S'],[],[],[],[],"['J', 'K']",-100
"[6, 'A', 4]","['H', 'S']",[],[],[],[],"[9, 3, 3, 7]",100
"[5, 'A', 10]",['DD'],[],[],[],[],"[10, 6, 8]",200
"['K', 'J', 'Q', 'K']","['H', 'H', 'S']",[],[],[],[],"[2, 7, 10]",-100
"['Q', 'J', 5]","['H', 'S']",[],[],[],[],"['A', 5, 2, 'A', 3, 10]",-100
"[4, 'A', 'K', 4]","['H', 'H', 'S']",[],[],[],[],"['Q', 5, 7]",100
"[4, 8]",['S'],[],[],[],[],"['J', 10]",-100
"[6, 7]",['S'],[],[],[],[],"[3, 'K', 2, 10]",100
"[7, 'K']",['S'],[],[],[],[],"[3, 4, 4, 8]",-100
"[7, 8]",['S'],[],[],[],[],"[5, 2, 7, 'K']",100
"[4, 'K', 6]",['DD'],[],[],[],[],"[9, 'A', 5, 3]",200
"[8, 5, 'A']",['DD'],[],[],[],[],"['K', 9]",-200
"['Q', 5, 7, 'J']","['H', 'DD']",[],[],[],[],"[2, 'J', 'J']",-200
"[9, 9]",['P'],"[9, 'J']","[9, 2]",['DD'],['DD'],"[5, 5, 'Q']",-400
"['Q', 'J', 4, 'K']","['H', 'DD']",[],[],[],[],"['A', 8, 2, 8]",-200
"[8, 'K', 5]",['DD'],[],[],[],[],"[10, 'Q']",-200
"['Q', 'A']",['S'],[],[],[],[],"[2, 'Q', 6]",-100
"[4, 9, 'Q']",['DD'],[],[],[],[],"['J', 2, 'J']",-200
"['A', 4]",['S'],[],[],[],[],"['Q', 9]",-100
"['Q', 10, 2, 3, 7, 5]","['H', 'H', 'H', 'DD']",[],[],[],[],"['K', 'J']",-200
"[4, 5]",['S'],[],[],[],[],"[6, 9, 7]",100
"[9, 9, 3]",['DD'],[],[],[],[],"[10, 2, 8]",200
"['K', 6]",['S'],[],[],[],[],"['A', 9, 10]",-100
"['K', 4]",['S'],[],[],[],[],"[6, 7, 4]",-100
"[7, 'Q', 3, 'A', 8, 'K']","['H', 'H', 'H', 'DD']",[],[],[],[],"['K', 10]",-200
"[8, 6, 9]","['H', 'S']",[],[],[],[],"[7, 9, 4]",-100
"[9, 4, 4]","['H', 'S']",[],[],[],[],"[10, 8]",-100
"[3, 6, 5, 7]","['H', 'DD']",[],[],[],[],"['Q', 5, 'J']",200
"[8, 7, 4, 6]","['H', 'H', 'S']",[],[],[],[],"['J', 'Q']",-100
"['Q', 'J']",['S'],[],[],[],[],"['Q', 3, 9]",100
"[7, 'J', 4]",['DD'],[],[],[],[],"['K', 8]",200
"[2, 5, 10, 'K', 8]","['H', 'H', 'DD']",[],[],[],[],"['Q', 4, 6]",-200
"['Q', 8, 3]",['DD'],[],[],[],[],"[10, 'J']",200
"['Q', 'A']",['S'],[],[],[],[],"[4, 5, 2, 9]",-100
"[7, 'J', 5]",['DD'],[],[],[],[],"['Q', 9]",-200
"[3, 5, 'K']",['DD'],[],[],[],[],"['A', 5, 6, 'Q']",-200
"[7, 10, 10]",['DD'],[],[],[],[],"[2, 'Q', 7]",-200
"['A', 7, 10]",['DD'],[],[],[],[],"[4, 2, 'J', 8]",200
"['J', 2, 'K']","['H', 'S']",[],[],[],[],"[5, 3, 8, 'J']",-100
"[5, 10, 8]",['DD'],[],[],[],[],"[5, 7, 2, 5]",-200
"['Q', 8, 5]","['H', 'S']",[],[],[],[],"['Q', 10]",-100
"[2, 'K']",['S'],[],[],[],[],"[9, 7, 7]",100
"['A', 5, 9, 'A']","['H', 'H', 'S']",[],[],[],[],"[2, 9, 7]",-100
"['J', 2, 'K']",['DD'],[],[],[],[],"[4, 'K', 2, 'Q']",-200
"[4, 8, 'A']",['DD'],[],[],[],[],"[7, 4, 'J']",-200
"[7, 7, 10, 9]","['H', 'DD']",[],[],[],[],"[9, 7, 'Q']",-200
"['J', 'K']",['P'],"['J', 'Q']","['K', 2]",['DD'],['DD'],"[8, 8, 6]",400
"[9, 3, 3]",['DD'],[],[],[],[],"[6, 5, 'K']",-200
"[10, 2, 9]",['DD'],[],[],[],[],"['A', 7, 10]",200
"['A', 7, 6]",['DD'],[],[],[],[],"[3, 'K', 5]",-200
"[3, 'A']",['S'],[],[],[],[],"[8, 9]",-100
"[7, 2, 6]",['DD'],[],[],[],[],"['A', 10, 5, 2]",-200
"[4, 6]",['S'],[],[],[],[],"[2, 10, 8]",-100
"['Q', 9]",['S'],[],[],[],[],"['A', 'A', 'J', 6, 4]",-100
"[8, 'A', 6, 3]","['H', 'DD']",[],[],[],[],"[3, 8, 'K']",-200
"[8, 'K', 5]",['DD'],[],[],[],[],"['K', 4, 9]",-200
"[6, 8, 'K']",['DD'],[],[],[],[],"[8, 9]",-200
"[3, 'J', 7, 6, 10, 3]","['H', 'H', 'H', 'DD']",[],[],[],[],"[6, 8, 5]",-200
"[9, 10, 8]",['DD'],[],[],[],[],"['J', 'A', 6, 2]",-200
"[10, 4, 10, 9]","['H', 'DD']",[],[],[],[],"[6, 2, 3, 5, 7]",-200
"[5, 4, 8, 10]","['H', 'DD']",[],[],[],[],"[2, 6, 5, 10]",-200
"['K', 6]",['S'],[],[],[],[],"[7, 'Q']",-100
"['A', 'J', 5]",['DD'],[],[],[],[],"[10, 'A', 4, 'J']",200
"['A', 3, 10, 8]","['H', 'DD']",[],[],[],[],"[3, 5, 'Q']",200
"[2, 'K', 9]",['DD'],[],[],[],[],"[5, 8, 2, 'K']",200
"[3, 'A', 5]",['DD'],[],[],[],[],"[7, 7, 5]",-200
"[5, 'J', 'Q']",['DD'],[],[],[],[],"[8, 'A', 10]",-200
"[6, 7]",['S'],[],[],[],[],"[5, 'A', 7, 3, 8]",100
"[4, 9]",['S'],[],[],[],[],"[9, 10]",-100
"['K', 'Q', 6]","['H', 'S']",[],[],[],[],"['J', 5, 5]",-100
"[8, 8]",['P'],"[8, 'Q', 5]","[8, 5]","['H', 'DD']","['H', 'S']","[10, 2, 4, 2]",-300
"[3, 10, 4, 7, 'A']","['H', 'H', 'DD']",[],[],[],[],"[6, 7, 'K']",-200
"[9, 'K']",['S'],[],[],[],[],"['J', 'Q']",-100
"['K', 8]",['S'],[],[],[],[],"[5, 'A', 10, 'A', 5]",-100
"[8, 2]",['S'],[],[],[],[],"['J', 'K']",-100
"[10, 4, 'A']",['DD'],[],[],[],[],"[6, 'A', 7, 5]",-200
"['A', 10, 3]","['H', 'S']",[],[],[],[],"['K', 9]",-100
"[2, 8]",['S'],[],[],[],[],"[2, 3, 9, 10]",100
"['K', 'Q', 2]",['DD'],[],[],[],[],"[10, 'K']",-200
"['Q', 10]",['S'],[],[],[],[],"['K', 4, 2, 8]",100
"[5, 8, 7]",['DD'],[],[],[],[],"[5, 10, 'Q']",200
"[5, 5]",['P'],[5],[5],['S'],['S'],"[7, 'A', 9, 8]",200
"[8, 10, 'J', 2]","['H', 'DD']",[],[],[],[],"[8, 7, 10]",-200
"['A', 6, 10, 2, 5]","['H', 'H', 'DD']",[],[],[],[],"[8, 'A', 9]",-200
"['A', 9]",['S'],[],[],[],[],"[8, 6, 'Q']",100
"[8, 2, 2, 8]","['H', 'DD']",[],[],[],[],"['Q', 6, 4]",0
"[8, 8, 'Q', 'A', 8]","['H', 'H', 'H', 'S']",[],[],[],[],"['A', 3, 'A', 'Q', 9]",-100
"[5, 7]",['S'],[],[],[],[],"['A', 'A', 'J', 10]",-100
"['J', 4]",['S'],[],[],[],[],"[5, 6, 9]",-100
"['Q', 'K']",['P'],['Q'],"['K', 'A']",['S'],"['H', 'S']","[5, 8, 6]",-200
"[7, 'K']",['S'],[],[],[],[],"['A', 3, 4, 5, 6]",-100
"[5, 6, 3, 2]","['H', 'DD']",[],[],[],[],"[8, 2, 3, 9]",200
"[10, 8]",['S'],[],[],[],[],"[3, 9, 2, 'Q']",100
"['K', 4, 7]",['DD'],[],[],[],[],"[9, 4, 10]",200
"[10, 5]",['S'],[],[],[],[],"[7, 6, 8]",-100
"[9, 2, 'A', 4, 'K']","['H', 'H', 'DD']",[],[],[],[],"[9, 8]",-200
"[6, 7, 3, 5]","['H', 'DD']",[],[],[],[],"[8, 10]",200
"['Q', 8]",['S'],[],[],[],[],"[6, 'J', 2]",0
"[3, 7, 6, 3]","['H', 'DD']",[],[],[],[],"['Q', 3, 6]",0
"['Q', 'Q']",['S'],[],[],[],[],"[9, 'Q']",100
"[10, 'Q']",['P'],"[10, 'Q']","['Q', 3]",['DD'],"['H', 'S']","[6, 6, 9]",-300
"[6, 9, 'J']","['H', 'S']",[],[],[],[],"[8, 'Q']",-100
"['J', 3, 9, 'K']","['H', 'H', 'S']",[],[],[],[],"[5, 7, 'Q']",-100
"['J', 7, 2]","['H', 'S']",[],[],[],[],"[9, 3, 5]",100
"[5, 8]",['S'],[],[],[],[],"[6, 'K', 5]",-100
"['Q', 9, 'J', 'K', 7, 'A']","['H', 'H', 'H', 'H', 'S']",[],[],[],[],"[4, 2, 6, 'K']",-100
"['Q', 2]",['S'],[],[],[],[],"[10, 'Q']",-100
"[8, 7, 5]",['DD'],[],[],[],[],"[9, 'Q']",200
"[6, 4, 2]",['DD'],[],[],[],[],"[6, 'A', 7, 2, 5]",-200
"[10, 9]",['S'],[],[],[],[],"['A', 7, 'Q']",100
"[2, 8, 9]",['DD'],[],[],[],[],"[10, 7]",200
"[3, 'K']",['S'],[],[],[],[],"[2, 10, 6]",-100
"[5, 'A']",['S'],[],[],[],[],"[5, 'J', 9]",100
"['Q', 10, 8]",['DD'],[],[],[],[],"['J', 'J']",-200
"[5, 5]",['S'],[],[],[],[],"[5, 'Q', 4]",-100
"[7, 5]",['S'],[],[],[],[],"['J', 3, 8]",-100
"[9, 8, 'K']",['DD'],[],[],[],[],"['J', 4, 4]",-200
"[10, 4]",['S'],[],[],[],[],"[9, 5, 4]",-100
